"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fn1",5.0589644698826e-17,0.689249316290141,0.531,0.394,8.47022421192443e-13,"1","Fn1"
"H2-T23",5.26253484060199e-17,0.261830469595692,0.88,0.838,8.81106208361991e-13,"1","H2-T23"
"Sh3pxd2b",5.71888266548101e-17,0.37872692446225,0.552,0.306,9.57512524681485e-13,"1","Sh3pxd2b"
"Ube2a",7.19342482354593e-17,0.269603154781757,0.658,0.525,1.20439511820629e-12,"1","Ube2a"
"Sec23b",8.60983320528527e-17,0.317963422925736,0.432,0.249,1.44154437356091e-12,"1","Sec23b"
"Selenot",8.63340327519906e-17,0.337789507286493,0.782,0.609,1.44549071036658e-12,"1","Selenot"
"Noc2l",1.24623887500428e-16,0.300661729156845,0.485,0.29,2.08657774841966e-12,"1","Noc2l"
"Hnrnpk",1.30182216086796e-16,0.255817934058422,0.958,0.872,2.17964084394122e-12,"1","Hnrnpk"
"Tmbim4",1.34536714367527e-16,0.286404444936035,0.739,0.608,2.25254820865551e-12,"1","Tmbim4"
"Dgkz",1.40081966702405e-16,0.277386505888896,0.516,0.324,2.34539236849836e-12,"1","Dgkz"
"Hsph1",1.4757567640922e-16,0.372849330914559,0.409,0.236,2.47085955011956e-12,"1","Hsph1"
"Cers2",1.75177842359555e-16,0.260999661776126,0.647,0.527,2.93300261462603e-12,"1","Cers2"
"Ifi47",1.94860418233457e-16,0.310862437046454,0.625,0.374,3.26254798248277e-12,"1","Ifi47"
"Larp1",1.95298228014769e-16,0.311911008195074,0.614,0.444,3.26987823165129e-12,"1","Larp1"
"Pycard",2.00623160214971e-16,0.444328869938977,0.819,0.683,3.35903357147926e-12,"1","Pycard"
"Creb51",2.31483103156038e-16,0.445869691828144,0.663,0.384,3.87572159614154e-12,"1","Creb5"
"Plaa",2.49977279479611e-16,0.27121530691818,0.437,0.274,4.18536959032712e-12,"1","Plaa"
"Trim30a",2.69006610789902e-16,0.444600191041772,0.774,0.576,4.50397768445534e-12,"1","Trim30a"
"Magohb",3.23952128380096e-16,0.301472174929753,0.474,0.321,5.42393048546794e-12,"1","Magohb"
"Pcna",3.45035120209432e-16,0.301622408671993,0.73,0.556,5.77692301766652e-12,"1","Pcna"
"Gsn",3.50072710151341e-16,0.413832069607689,0.825,0.622,5.86126738606391e-12,"1","Gsn"
"Coro2a",3.74004765501977e-16,0.327834557233343,0.479,0.3,6.26196178879961e-12,"1","Coro2a"
