"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl29",2.65346179023457e-92,0.336361609301702,0.987,0.844,4.42809703554345e-88
"H2-K1",1.65574599650027e-73,0.335231216269242,0.995,0.926,2.76310891895966e-69
"Mdh2",6.40599074909809e-82,0.334969446583381,0.909,0.623,1.06903173620949e-77
"Cops6",1.02851892613507e-71,0.334228200925909,0.703,0.376,1.7163923839342e-67
"Coq7",2.474344422711e-69,0.333210147178149,0.61,0.29,4.12918597262012e-65
"Hp",4.9214458176841e-13,0.331954520174108,0.911,0.84,8.21290878055122e-09
"Rpsa",2.08310819678244e-80,0.330933211432286,0.987,0.868,3.47629095879054e-76
"Lgals9",5.06756149191614e-67,0.330150207500347,0.581,0.268,8.45674661770965e-63
"Apoe",1.4042224613714e-12,0.329449570377589,0.79,0.67,2.34336644353659e-08
"Tmem30a",1.57100319340272e-69,0.328582583047154,0.921,0.721,2.62169012915046e-65
"Taf10",6.76987168127782e-71,0.32698865059077,0.617,0.298,1.12975618617164e-66
"Ndufs4",4.47250806216525e-70,0.326927940842002,0.724,0.402,7.46372145414138e-66
"Smim1",4.24514757913464e-64,0.326262447012923,0.702,0.394,7.08430228005989e-60
"Ndufa1",6.80159830617101e-79,0.324535291316477,0.888,0.595,1.13505072533382e-74
"Muc1",3.51805989101794e-76,0.324254372457276,0.973,0.826,5.87093834613073e-72
"Timm8b",4.47211888174622e-71,0.324246940427457,0.8,0.473,7.4630719898581e-67
"Ndufv2",9.00607872897706e-70,0.322461150551175,0.776,0.465,1.50293441829169e-65
"Mgst3",2.02591061512673e-59,0.321410917417687,0.673,0.369,3.38083963452348e-55
"Rpl7a",2.43054952446344e-82,0.321283379728013,0.984,0.836,4.05610104642459e-78
"Prr15l",2.08489433037636e-67,0.321220135030711,0.796,0.494,3.47927165853207e-63
"Bsg",1.5175724759454e-90,0.320740018468236,0.998,0.951,2.53252494785768e-86
"Fkbp2",1.59124318802572e-66,0.320525711016422,0.896,0.649,2.65546663217732e-62
"Rpl28",2.46809215186948e-84,0.320039576764236,0.987,0.862,4.11875218303978e-80
"Tc2n",4.59826863849337e-62,0.318378068550082,0.645,0.334,7.67359070391774e-58
"Chmp2a",8.85951398644794e-79,0.318203542066612,0.909,0.629,1.47847569405843e-74
"Ndufa5",1.24804797254165e-74,0.318075673243793,0.862,0.541,2.08274245657751e-70
"Ybx1",1.15147234008197e-77,0.317212791057078,0.953,0.747,1.9215770411288e-73
"Slc35b1",2.32427443092985e-64,0.317211540839898,0.601,0.286,3.87874917033573e-60
"Timm13",1.51951281745729e-80,0.315672455151734,0.936,0.674,2.53576298977273e-76
"Btg3",3.29603410442039e-54,0.315537046363378,0.734,0.45,5.50042171345676e-50
"Usmg5",1.72738990444177e-76,0.315260701030774,0.898,0.602,2.88266827253243e-72
"Ccnd3",3.46700476356047e-61,0.315030319283714,0.706,0.4,5.7857375494297e-57
"Tmem147",9.50689386665704e-68,0.314701687991822,0.692,0.363,1.58651044846773e-63
"Ubl5",1.75637961063864e-79,0.314464741995128,0.965,0.785,2.93104629423376e-75
"H3f3a",2.54456959698516e-81,0.314064643333407,0.981,0.854,4.24637774344883e-77
"Sh3bgrl3",3.92447344198895e-65,0.313859813852111,0.837,0.542,6.54916127999116e-61
"2410015M20Rik",6.89183645426789e-72,0.313796361545225,0.901,0.635,1.15010966748823e-67
"Psma3",5.78693301419918e-73,0.313793226876629,0.907,0.633,9.65723381409559e-69
"Rps2",2.35755560933076e-77,0.313373449054854,0.995,0.927,3.93428880085117e-73
"Pet100",4.40782867193385e-62,0.312764441153286,0.706,0.389,7.3557844877232e-58
"Mrpl33",1.4562048768943e-71,0.311925865301161,0.871,0.567,2.4301146985612e-67
"Aldoa",9.89069893928996e-67,0.311394203100651,0.951,0.765,1.65055983898871e-62
"Ostc",9.75324938911824e-54,0.311184731402676,0.652,0.377,1.62762225805605e-49
"Tomm7",5.75134458217705e-76,0.31066559547867,0.929,0.675,9.59784383873707e-72
"Rpl15",5.36267438857772e-80,0.310364315725815,0.976,0.791,8.9492310196585e-76
"Akr1a1",4.86066662009184e-77,0.31029030161874,0.972,0.818,8.11148045560927e-73
"Ndufb10",4.91804414296214e-71,0.309691958460566,0.898,0.623,8.20723206577522e-67
"Nkd1",1.33528152253908e-49,0.30925982862771,0.79,0.531,2.22831780481321e-45
"Mrpl42",1.74014406768883e-64,0.30785859321287,0.664,0.337,2.90395242015912e-60
"Atp6v0d1",6.09577697724504e-66,0.307767577160349,0.832,0.541,1.01726326196265e-61
"Myeov2",7.04332616266093e-72,0.307760694383077,0.872,0.573,1.17539027002486e-67
"Dbi",6.11218854592182e-63,0.306662978614535,0.988,0.9,1.02000202454343e-58
"Ndufs3",3.37277816912137e-67,0.305791988417208,0.795,0.48,5.62849220862975e-63
"Pcx",3.53279192720562e-60,0.305543347924288,0.51,0.213,5.89552316812074e-56
"Ppp1ca",5.82927611184977e-74,0.305423287184392,0.926,0.667,9.7278959754549e-70
"Nsmce1",9.16379638663253e-63,0.30490451140896,0.675,0.352,1.52925434100124e-58
"Rpl19",2.28789865502449e-90,0.303658795857343,0.999,0.951,3.81804527550487e-86
"Serf2",2.978796171018e-88,0.302815889209604,0.993,0.902,4.97101505019484e-84
"Btf3",1.3402545502997e-80,0.301237309890459,0.985,0.822,2.23661679354013e-76
"Atpif1",7.95683774050185e-77,0.300392570351779,0.976,0.792,1.32783708213495e-72
"Cycs",3.11251205631207e-65,0.300093882339385,0.817,0.515,5.19416011957357e-61
"Rpl27",2.72650956553187e-77,0.296514581451171,0.967,0.777,4.54999916295958e-73
"Tmed2",6.72336623310306e-63,0.295963242051763,0.923,0.704,1.12199535698024e-58
"Srp14",2.47220933409428e-69,0.295935467698776,0.932,0.696,4.12562293673653e-65
"Hcfc1r1",6.39937889857702e-61,0.295580812402713,0.746,0.439,1.06792835059453e-56
"Psma4",2.26436704526562e-59,0.294428136002455,0.773,0.458,3.77877572513926e-55
"Prdx2",8.11485964810818e-69,0.29434123391599,0.912,0.662,1.35420777807629e-64
"Mrps24",2.14486820561698e-62,0.29389856741278,0.767,0.455,3.57935606153361e-58
"Eif5a",6.94575171763069e-74,0.293418098445922,0.977,0.823,1.15910704663821e-69
"Rplp0",1.15609283520466e-78,0.293227144931351,1,0.951,1.92928772338953e-74
"Tmem14c",1.27584886943108e-62,0.292955446852445,0.762,0.442,2.12913659330658e-58
"Rgcc",1.20336199619886e-56,0.291592345640811,0.952,0.762,2.00817049925665e-52
"Romo1",3.29711083134856e-69,0.29133797213732,0.934,0.678,5.50221855535447e-65
"Pgm2",8.87619848462077e-55,0.291150505501198,0.599,0.308,1.48126000311351e-50
"Tmem208",1.72674153692086e-66,0.291074190323762,0.779,0.445,2.88158627681354e-62
"Ndufb3",1.67201885950069e-65,0.290675578187246,0.885,0.616,2.79026507273475e-61
"Mrpl20",2.72420768028091e-63,0.290412221786236,0.722,0.397,4.54615777685278e-59
"Lsm4",6.49543145765169e-58,0.290369526174566,0.74,0.425,1.08395760165291e-53
"Apoa1bp",2.39059650168737e-62,0.29027359552732,0.89,0.636,3.98942744201588e-58
"Nedd8",1.91691995865456e-73,0.289803850287149,0.957,0.721,3.19895602700272e-69
"Ap2s1",1.2034286287181e-61,0.288972365569698,0.743,0.426,2.00828169560477e-57
"Vapa",1.61274181455543e-63,0.287923631596315,0.948,0.723,2.69134354013011e-59
"Yif1b",7.28880680602121e-58,0.287676027585953,0.514,0.226,1.21635607978882e-53
"Rps24",2.02697794056039e-76,0.287033365997829,0.99,0.896,3.38262078720718e-72
"Arpc2",5.64630380881412e-70,0.286311109111189,0.939,0.694,9.422551796149e-66
"Avpi1",8.68972196577486e-64,0.285968129501891,0.949,0.764,1.45014080164851e-59
"Ifitm3",5.34416444161824e-28,0.285901227721972,0.302,0.122,8.91834162017252e-24
"Ndufc2",3.7350384679763e-73,0.285485561529453,0.978,0.809,6.23303219535885e-69
"Mt2",5.34085013392975e-23,0.284518296334406,0.654,0.466,8.91281070350197e-19
"Prdx5",1.99575378840869e-56,0.284410431001801,0.929,0.723,3.33051392209642e-52
"Ddost",6.15304540183404e-51,0.283214161613277,0.773,0.506,1.02682021665807e-46
"Arpc3",1.83727650811984e-66,0.282807912053147,0.88,0.594,3.06604703675039e-62
"Trappc2l",3.19476832005843e-56,0.282505153232168,0.756,0.458,5.33142937251351e-52
"Tmem258",4.21025548348905e-53,0.280782561378984,0.839,0.58,7.02607435084652e-49
"Cox4i1",3.43727478377752e-86,0.279988649075618,0.996,0.929,5.73612415916793e-82
"Scp2",6.09173631388178e-56,0.279944014461345,0.985,0.892,1.01658895606059e-51
"Rps10",8.14807369146284e-71,0.279497536347758,0.989,0.85,1.35975053763132e-66
"Fam150a",6.19708832066673e-55,0.278409208083965,0.322,0.113,1.03417009895286e-50
