"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccdc186",7.03402671421108e-08,0.287373866515709,0.265,0.187,0.00117383837806754
"Ndufs6",2.21671787350639e-09,0.287176913103538,0.716,0.665,3.69925878730746e-05
"Hspbp1",3.71873978868813e-20,0.28716951862456,0.267,0.14,6.20583295936275e-16
"Ilkap",8.28958775494197e-09,0.287133900126582,0.377,0.289,0.000138336640454472
"Sec31a",9.52999251576253e-16,0.286981751044573,0.292,0.172,1.59036515103045e-11
"Hiat1",5.81763024765382e-15,0.286956340022061,0.295,0.178,9.7084613572847e-11
"Ndnl2",4.28543800363704e-20,0.286733066325337,0.265,0.139,7.1515389404695e-16
"Tmem248",8.88866274796498e-09,0.286140466130175,0.407,0.323,0.00014833400393804
"Dync1h1",1.1908771964279e-09,0.285939940669021,0.329,0.23,1.98733586539887e-05
"U2af2",5.18572344800603e-12,0.285920995963525,0.301,0.198,8.65393529003247e-08
"Spsb2",2.59016439076505e-09,0.285856932977949,0.369,0.27,4.32246633530871e-05
"l7Rn6",2.5282703568131e-15,0.285833161941186,0.279,0.167,4.21917757144971e-11
"Chrnb1",1.72240568783572e-14,0.285672129384631,0.258,0.151,2.87435061186026e-10
