"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rbm39",1.59131343323991e-42,0.948786944412194,0.704,0.753,2.65558385739077e-38
"Lamb3",1.52834163620616e-46,0.948356261713573,0.458,0.372,2.55049652250084e-42
"Serpinh1",8.09379651167285e-44,0.9435906041988,0.423,0.35,1.35069276186796e-39
"2310007B03Rik",1.23567253669819e-74,0.941901231754465,0.281,0.097,2.06209032924194e-70
"Scnn1a",1.53832789169339e-50,0.941782871996942,0.371,0.26,2.56716158565792e-46
"Nrbp2",2.90841604693712e-50,0.94023049831965,0.297,0.18,4.85356469912866e-46
"Slc6a14",8.91198880867646e-45,0.937865397918723,0.391,0.304,1.48723269239193e-40
"1810037I17Rik",1.38147255394585e-38,0.930233296287647,0.66,0.716,2.30540139802484e-34
"Rhoa",4.32003419455143e-36,0.928058953858022,0.691,0.793,7.20927306386743e-32
"Myl6",3.8362093673992e-88,0.924903177453875,0.941,0.956,6.40186619231578e-84
"Arhgap31",1.80995281269523e-37,0.921899499022773,0.382,0.31,3.02044925382581e-33
"Ywhah",2.36080009359434e-38,0.910249822764389,0.469,0.432,3.93970319619024e-34
"Fam63b",5.63754829802028e-63,0.909050143413761,0.265,0.127,9.40794059973623e-59
"Pnisr",1.22691669534056e-40,0.903772374236899,0.404,0.317,2.04747858118433e-36
"Tceb2",2.51691948090241e-35,0.892158023147321,0.758,0.827,4.20023522972995e-31
"Col4a1",8.49550959732393e-34,0.885615917542195,0.436,0.408,1.41773064160142e-29
"Tef",1.14867983120598e-54,0.877361170079325,0.263,0.13,1.91691690231653e-50
"Sepw1",5.22246680905683e-36,0.877244445344372,0.747,0.806,8.71525261095404e-32
"Hes1",1.03982146100879e-22,0.876832124407218,0.487,0.513,1.73525405413146e-18
"Trp53bp2",5.73688695940857e-51,0.874546325873986,0.284,0.16,9.57371695786102e-47
"Ptrf",5.17236059303703e-56,0.871399191664248,0.327,0.182,8.63163535766019e-52
"Tfdp2",2.43859292296987e-56,0.870268070623552,0.294,0.148,4.06952386985212e-52
"Akap8l",1.15586946192038e-32,0.870013793210198,0.286,0.225,1.92891495805273e-28
"Ttc14",1.12909072020963e-41,0.86778440903362,0.275,0.18,1.88422659388584e-37
"Ptms",2.90010077131877e-34,0.866480499228319,0.658,0.709,4.83968816717677e-30
"Unc13d",8.77509674690624e-64,0.865166696988686,0.271,0.112,1.46438814512371e-59
"Wnk1",3.27805084029955e-35,0.863334698085188,0.454,0.417,5.47041124229188e-31
"Arhgap5",4.09437384370709e-53,0.856870917973524,0.34,0.195,6.8326910703784e-49
"Tln1",4.72985183063402e-42,0.853938933661274,0.355,0.256,7.89317673496205e-38
"S100a13",1.84019942040494e-29,0.850557839965478,0.529,0.553,3.07092479277177e-25
"Nisch",1.33633184923468e-32,0.846228625873286,0.327,0.27,2.23007059000283e-28
"Cadm1",4.99657525264653e-32,0.842523565231947,0.626,0.698,8.33828478161652e-28
"Fnbp1l",2.54923128809619e-35,0.839678590498865,0.369,0.295,4.25415717357492e-31
"Lamc2",5.98865130265509e-39,0.834611866590118,0.317,0.204,9.99386129387082e-35
"Col4a2",4.76931571575761e-31,0.829301793427824,0.353,0.31,7.95903406645631e-27
"Gm42418",1.01800588990703e-19,0.829146292199547,0.719,0.775,1.69884822907685e-15
"Mpp5",2.19065728208456e-44,0.8263842128183,0.273,0.163,3.65576887234271e-40
"Tpm3",5.08740866112392e-32,0.823398906189621,0.613,0.639,8.4898675736836e-28
"Mthfd1",1.20301574311558e-25,0.815983198333469,0.402,0.406,2.00759267211128e-21
"Ddx47",3.41090566680649e-43,0.810137806094283,0.312,0.203,5.69211937676667e-39
"Arhgdia",2.88516192319989e-31,0.805961063402352,0.57,0.596,4.81475821743598e-27
"Tacstd2",8.41735183812384e-27,0.802438455476369,0.363,0.299,1.40468767474611e-22
"Ctnna1",6.60314457398838e-27,0.798482350029464,0.472,0.488,1.10193276650718e-22
"Ogt",2.81078183073068e-24,0.796606453161264,0.415,0.398,4.69063271912336e-20
"Hist1h2bc",5.31240771005798e-20,0.794469196712217,0.376,0.343,8.86534598654476e-16
"Atxn7l3b",6.6285644528044e-26,0.794292324187301,0.43,0.426,1.106174835884e-21
"S100a1",4.67741599944215e-14,0.787602807008865,0.547,0.645,7.80567181986907e-10
"Chpt1",4.46910615546111e-26,0.780038777237363,0.395,0.387,7.4580443522335e-22
"Ifi27",6.66374387817287e-25,0.779319842988227,0.605,0.628,1.11204557838949e-20
"Cd81",1.1755820304639e-23,0.778304656036549,0.775,0.885,1.96181129243815e-19
"Cd151",3.94738370553659e-28,0.777867016545433,0.397,0.358,6.58739392779946e-24
"Hspb1",1.05993525451653e-24,0.773667325977302,0.423,0.379,1.76881995273719e-20
"Mlf2",1.28426255798463e-22,0.771783855153264,0.521,0.576,2.14317735676476e-18
"Epn2",7.68576779560326e-50,0.76768106446979,0.27,0.136,1.28260092973027e-45
"Stx7",1.00845837375972e-30,0.763505147594911,0.358,0.312,1.68291533413022e-26
"PISD",5.988829789529e-20,0.763177468112481,0.337,0.325,9.99415915276599e-16
"Dusp1",8.05618178705056e-09,0.756948430698951,0.458,0.524,0.0001344415616623
"Apbb1",6.03865133198239e-32,0.756204288479965,0.325,0.261,1.00773013428122e-27
"Rabgap1l",4.23251187949839e-28,0.752740999905261,0.356,0.313,7.06321582450691e-24
"Mbnl1",1.49747958942064e-18,0.750163212080159,0.436,0.45,2.49899393882517e-14
"Tmsb4x",1.12642279757793e-81,0.749975778505631,0.998,0.999,1.87977436459804e-77
"Gadd45b",2.32950702051843e-27,0.749826955445216,0.471,0.429,3.88748131584116e-23
"Sep15",6.11835462722476e-17,0.74905568539481,0.699,0.84,1.02103102019127e-12
"F11r",1.5539854236868e-22,0.748583275640684,0.542,0.597,2.59329087504854e-18
"Itgb1",1.64307075209363e-22,0.745921453077842,0.51,0.541,2.74195647109385e-18
"Sptan1",4.11872820858172e-30,0.740795059320929,0.281,0.216,6.87333363448118e-26
"Srsf11",1.91641882212934e-18,0.738349025735271,0.487,0.527,3.19811973036945e-14
"B2m",9.36055585774411e-11,0.737745802089233,0.822,0.904,1.56208956154034e-06
"Hmha1",1.78325970615887e-32,0.736163493217714,0.265,0.169,2.97590379763792e-28
"Pls3",2.46713008512127e-20,0.732433843709364,0.438,0.449,4.11714668605037e-16
"Otud7b",2.22835905569271e-38,0.731998683211181,0.253,0.14,3.71868559213999e-34
"AU021092",1.36063185434267e-14,0.727963786325598,0.415,0.469,2.27062243852705e-10
"Arhgef2",3.86860458121037e-29,0.727090427893341,0.284,0.215,6.45592732512387e-25
"Lamb2",1.59868087658817e-34,0.722935679502757,0.276,0.181,2.66787864685034e-30
"Prmt2",2.62345362766396e-35,0.71906676170444,0.275,0.181,4.37801941384561e-31
"Gng5",4.63555341516074e-16,0.718458058611992,0.737,0.853,7.73581153922024e-12
