"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aldh2",3.5411220469328e-18,-0.355219323278318,0.489,0.637,5.92890064317958e-14
"Uap1l1",3.82003906300643e-18,0.35559247723968,0.555,0.398,6.39589140319166e-14
"Adgre5",3.86336556568391e-18,-0.366051045089718,0.404,0.579,6.46843296662457e-14
"Zfp36l1",4.24257966552793e-18,-0.432067383823238,0.804,0.899,7.10335113399341e-14
"H2-T22",4.51934350408965e-18,0.344172039143772,0.694,0.564,7.56673682889731e-14
"Il10ra",4.59827623481661e-18,-0.299164683611375,0.536,0.685,7.69889389995346e-14
"Smim14",5.05048845529923e-18,-0.309352877798456,0.591,0.716,8.4560328207075e-14
"Ms4a6c",5.28097013579253e-18,0.281678564283687,0.956,0.961,8.84192829835743e-14
"Pafah1b1",5.86217656482557e-18,0.330111363796114,0.849,0.8,9.81504222248746e-14
"Rars",6.73451319953377e-18,0.284299252037603,0.462,0.3,1.12755954499794e-13
"Cxcl10",7.47515763397853e-18,0.952508662288229,0.438,0.289,1.25156564265702e-13
"Psmb7",7.51684985664863e-18,0.337845939126193,0.692,0.578,1.25854617149868e-13
"Nceh1",8.00142596488311e-18,0.4080645411686,0.607,0.453,1.33967874930038e-13
"Arhgdia",8.28884367427537e-18,0.25827635514937,0.94,0.912,1.38780109638393e-13
"Tmem59",8.30958547948312e-18,-0.293755012985769,0.756,0.853,1.39127389682986e-13
"Mob1a",8.61979525322489e-18,0.310456383728606,0.874,0.803,1.44321231924744e-13
"Plgrkt",1.07908674198906e-17,0.359898573824246,0.614,0.468,1.80671493211229e-13
"Nras",1.12541551904865e-17,0.351508105451787,0.675,0.545,1.88428320354316e-13
"Vegfa",1.19001270464274e-17,0.52069100537484,0.474,0.308,1.99243827138333e-13
"Mbd2",1.26038947197067e-17,0.349437224677454,0.672,0.556,2.1102700929205e-13
"Tmem119",1.45344056674573e-17,-0.32734220965019,0.202,0.366,2.43349554090237e-13
"Coro2a",1.53268035312327e-17,0.334687772213097,0.479,0.316,2.5661667152343e-13
"Ankrd44",1.55599101353351e-17,-0.289130950216895,0.391,0.556,2.60519575395915e-13
"Chd9",1.58281276941967e-17,-0.292594772548908,0.256,0.422,2.65010341983935e-13
"Ppp1r2",1.61175332820929e-17,0.314433843121738,0.621,0.476,2.69855859742081e-13
"Pip4k2a",1.61643218413079e-17,-0.280003213964091,0.522,0.68,2.70639240589018e-13
"Ube2l6",1.7013248284286e-17,0.275165118196212,0.351,0.198,2.848528160238e-13
"Rab5if",1.92071269610511e-17,0.324958181979133,0.755,0.672,3.21584926708879e-13
"Tuba4a",2.08306595933275e-17,0.28614191274231,0.379,0.219,3.48767733571082e-13
"Dhrs3",2.12786326289e-17,-0.331753570105834,0.515,0.677,3.56268146105673e-13
