"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"104",1.8391159473006e-193,3.20147284868035,1,0.543,3.0792318305654e-189,"5","Cd9"
"105",7.31801339697222e-198,3.11252801475054,0.986,0.365,1.22525498305506e-193,"5","Lpl"
"106",5.37225551695816e-199,3.10225325431713,0.988,0.585,8.99476741204304e-195,"5","Chil3"
"107",1.98679391741548e-131,3.06090083268066,0.984,0.255,3.32648905592874e-127,"5","Ear2"
"108",6.12995689801093e-175,2.93474896177539,0.955,0.026,1.02633868343397e-170,"5","Krt19"
"109",1.89015747316429e-213,2.91309734622486,0.971,0.044,3.16469065731896e-209,"5","Atp6v0d2"
"110",6.72311094858242e-132,2.70329459510769,0.85,0.023,1.12565046612115e-127,"5","Krt79"
"111",1.88628159394618e-183,2.55910434587317,0.988,0.516,3.15820127274409e-179,"5","Abcg1"
"112",2.48024188112983e-171,2.41272711369981,0.959,0.08,4.15266898157567e-167,"5","Ltc4s"
"113",1.24535919669127e-85,2.40569136549049,0.91,0.12,2.08510490302019e-81,"5","Kcnq1ot1"
"114",9.08275200858311e-176,2.3480165099756,0.99,0.348,1.52072516879707e-171,"5","Cd164"
"115",2.21054245952197e-166,2.31115803173053,0.965,0.238,3.70111123997764e-162,"5","Il18"
"116",1.62805208211448e-185,2.28741587442737,0.977,0.34,2.72584760108427e-181,"5","Nceh1"
"117",5.772291360464e-152,2.17003615411135,0.984,0.533,9.66454742482488e-148,"5","Mt1"
"118",1.43253293977055e-126,2.14541633242875,0.953,0.276,2.39848990105783e-122,"5","Ccnd2"
"119",8.53363258555168e-128,2.10707152435046,0.99,0.758,1.42878610379892e-123,"5","Ccl6"
"120",3.00232338749671e-165,2.05585944477623,0.961,0.181,5.02679004768575e-161,"5","Klhdc4"
"121",0,7.51442232878129,0.953,0.187,0,"6","S100a9"
"122",0,7.00479193681608,0.949,0.189,0,"6","S100a8"
"123",0,6.00728189485578,0.77,0.031,0,"6","Retnlg"
"124",0,5.40995915609464,0.884,0.129,0,"6","G0s2"
"125",3.48659988681306e-275,4.31095065931304,0.634,0.01,5.8376141904911e-271,"6","Stfa2l1"
"126",0,4.2084183583814,0.911,0.084,0,"6","Hdc"
"127",0,4.03728697353302,0.852,0.016,0,"6","Mmp9"
"128",4.43786463653587e-215,4.01937049206064,0.503,0.008,7.430316760952e-211,"6","Cstdc4"
"129",1.07074413240543e-301,3.8575643525034,0.85,0.301,1.79274690088641e-297,"6","Slpi"
"130",0,3.7217221560283,0.905,0.196,0,"6","Il1r2"
"131",3.37376289168658e-280,3.68649874564672,0.636,0.009,5.64869120955084e-276,"6","Asprv1"
"132",0,3.35555590141021,0.924,0.41,0,"6","Csf3r"
"133",7.29552025790262e-167,3.33257856086753,0.691,0.19,1.22148895678064e-162,"6","Acod1"
"134",0,3.3177040224309,0.899,0.428,0,"6","Trem1"
"135",3.31834250409628e-152,3.29643576760928,0.558,0.133,5.5559008546084e-148,"6","Ifitm1"
"136",2.81415128227094e-285,3.27854151290075,0.913,0.441,4.71173349190623e-281,"6","Mxd1"
"137",0,3.24856962205257,0.732,0.014,0,"6","Cxcr2"
"138",0,3.20757377835531,0.922,0.413,0,"6","Lmnb1"
"139",2.48699573192508e-311,3.20463866218927,0.901,0.376,4.16397695396216e-307,"6","Clec4d"
"140",5.89283636998814e-240,3.18244789257576,0.782,0.214,9.86637593427114e-236,"6","Slc7a11"
"141",8.05992961339983e-199,2.8927574221095,0.878,0.223,1.34947401517153e-194,"7","Pf4"
"142",4.44536081915632e-85,2.77031385615303,0.664,0.272,7.44286761951342e-81,"7","Ccl8"
"143",0,2.58333797217342,0.998,0.714,0,"7","Selenop"
"144",2.35233028496823e-226,2.3854434148287,1,0.924,3.93850659612231e-222,"7","Apoe"
"145",1.88857712580846e-131,1.81877972668169,0.445,0.073,3.16204468174111e-127,"7","Fcrls"
"146",4.87664639863208e-127,1.78190505778501,0.452,0.045,8.16496906522969e-123,"7","Folr2"
"147",1.08281294210877e-160,1.74967947555645,0.987,0.575,1.81295370897271e-156,"7","C1qa"
"148",1.71052948187928e-162,1.72795992923671,0.987,0.498,2.86393951151048e-158,"7","C1qc"
"149",2.24916688742423e-71,1.69344542854847,0.784,0.55,3.76578011961438e-67,"7","Jun"
"150",3.27309982095414e-163,1.66827585098718,0.84,0.272,5.48015103022352e-159,"7","Stab1"
"151",1.05412112855143e-141,1.61395275186882,0.922,0.458,1.76491500553367e-137,"7","Pltp"
"152",5.48629230117415e-142,1.60982840984453,0.989,0.57,9.18569919985588e-138,"7","C1qb"
"153",3.60725083268706e-159,1.59947389727119,0.849,0.343,6.03962006916794e-155,"7","Mrc1"
"154",4.00054576775425e-140,1.57869240071355,0.933,0.386,6.69811377895095e-136,"7","Maf"
"155",2.68461483742955e-61,1.55543405105778,0.829,0.551,4.49485062230829e-57,"7","Mt1"
"156",8.35460413920925e-134,1.48093574783551,0.978,0.451,1.3988113710278e-129,"7","Ms4a7"
"157",2.68176228804443e-133,1.44031963761762,0.886,0.417,4.49007459887278e-129,"7","Timp2"
"158",2.03354386496785e-78,1.41696152594835,0.423,0.192,3.40476249311567e-74,"7","Cfh"
"159",1.03936700924606e-137,1.41113245047573,0.927,0.436,1.74021218358067e-133,"7","Abca1"
"160",1.54028399996375e-111,1.39766497678056,0.352,0.033,2.5788975011393e-107,"7","Cbr2"
