"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arhgef6",5.01906248629346e-72,0.942376030785268,0.278,0.35,9.09504313141238e-68
"Nfkb1",1.60703100393293e-159,0.940544292746105,0.652,0.73,2.91210088222686e-155
"H2afj",0,0.937563586800918,0.498,0.24,0
"Anp32a",9.56079425428867e-292,0.936367390183565,0.744,0.762,1.73251152681965e-287
"Srpk1",1.1798794394979e-243,0.93383150064527,0.335,0.256,2.13805953231415e-239
"Serpinb1a",8.7138094304794e-232,0.932062206340024,0.26,0.116,1.57902940689717e-227
"Ccdc107",1.16586134828777e-264,0.929416275845668,0.307,0.208,2.11265734923227e-260
"Ogt",1.27776332281754e-244,0.927276220040632,0.537,0.504,2.31543491727766e-240
"Rpl10a",0,0.927189506492568,0.988,0.91,0
"Rps3a1",0,0.926427942048803,0.999,0.971,0
"Rtf1",1.071498524553e-214,0.926218915115524,0.447,0.423,1.9416624763425e-210
"Sh3bgrl3",0,0.923418790609468,0.987,0.961,0
"Ptma",0,0.922435377578738,0.996,0.947,0
"Tecpr1",7.69087483727242e-298,0.911897669678618,0.266,0.116,1.39366342926214e-293
"Emg1",2.54378809738744e-209,0.909488143546793,0.49,0.504,4.60959841127578e-205
"Junb",1.55266091426502e-241,0.906284009278451,0.955,0.971,2.81357684273964e-237
"Rbm3",0,0.901561939549179,0.87,0.877,0
"Spcs2",5.73741588799606e-247,0.899318372113332,0.716,0.735,1.03967713306377e-242
"Pitpnc1",5.43276179203089e-252,0.899180935493338,0.296,0.172,9.84470764333918e-248
"Nfkbid",2.07649679602949e-194,0.893335416841661,0.384,0.31,3.76281984408503e-190
"Rps16",0,0.892398842047395,0.998,0.982,0
"Tprgl",1.28833154000463e-196,0.890440895045512,0.467,0.469,2.33458558364239e-192
"Eif3e",5.55246231030755e-232,0.883580389189311,0.736,0.766,1.00616169525083e-227
"Mdh1",4.80940930816718e-200,0.882583808817778,0.546,0.571,8.71513060732976e-196
"Paxbp1",1.28688020863497e-212,0.879985523352075,0.286,0.203,2.33195562606743e-208
"Edf1",1.05330908858764e-221,0.877164648713952,0.733,0.767,1.90870139942966e-217
"Npm3",2.09214575218983e-204,0.875384977936733,0.356,0.316,3.79117731754319e-200
"Rpl12",0,0.873007200629231,0.984,0.916,0
"Eif4a2",1.59275884554071e-190,0.871631143999985,0.601,0.642,2.88623830400431e-186
"Pdrg1",4.59382288057467e-260,0.868055039624421,0.272,0.154,8.32446644188935e-256
"Tecr",2.0217614345055e-181,0.865697223759293,0.453,0.465,3.66363389546742e-177
"Anxa6",9.40035511667057e-184,0.863112848580937,0.41,0.395,1.70343835069187e-179
"H2-Ke6",5.04213752175245e-229,0.859385566166701,0.292,0.201,9.13685740316761e-225
"Mif4gd",5.9199846720047e-194,0.855081730482851,0.337,0.29,1.07276042241397e-189
"Cnot6l",2.03047346000923e-162,0.846618809826742,0.421,0.422,3.67942095688272e-158
"Pop5",7.76859876739502e-208,0.844806539394947,0.316,0.26,1.40774778263965e-203
"Rpl19",0,0.843090648178325,0.999,0.971,0
"Dok2",4.53540157736797e-226,0.841922522394219,0.316,0.198,8.2186011983485e-222
"Tagln2",0,0.83873509001715,0.863,0.795,0
"Eef1a1",0,0.833136764845064,0.999,0.979,0
"Ube2s",1.70719867130216e-222,0.831563395766731,0.347,0.222,3.09361471226664e-218
"Cox7a2l",5.83091255969787e-253,0.828223824362239,0.8,0.792,1.05661966494285e-248
"Psip1",5.14558788937143e-216,0.825795293851152,0.286,0.184,9.32431981432997e-212
"Zfand6",9.10906530888992e-157,0.825156231557633,0.476,0.515,1.65065372462394e-152
"Rplp1",0,0.825015735832169,0.999,0.98,0
"Arl6ip5",3.29128678728526e-152,0.815423195932238,0.502,0.54,5.96414078723962e-148
"Pigp",1.17957914407526e-227,0.81459938963487,0.254,0.157,2.13751536697878e-223
"Ywhaq",6.00428594521547e-142,0.810613083504415,0.522,0.592,1.0880366561325e-137
"Oaz1",0,0.808651612265174,0.971,0.951,0
"Rpl7",0,0.80808260592867,0.993,0.954,0
"Itpr2",8.75022650963729e-194,0.804315413588219,0.349,0.288,1.58562854581137e-189
"Rpl37",0,0.803691207674365,0.997,0.965,0
"Pfdn5",0,0.802525503283767,0.91,0.897,0
"Nop10",6.9210620064446e-132,0.795170088514024,0.538,0.607,1.25416564618783e-127
"Fam107b",3.6688573205344e-163,0.793268732204387,0.481,0.467,6.64833635054039e-159
"Polr2e",6.3945355733478e-147,0.792796000398127,0.394,0.416,1.15875379124635e-142
