"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mylk",7.66340910139189e-47,0.349773465534636,0.351,0.275,1.27886971084028e-42
"Chka",5.46440613483386e-44,0.347150230305466,0.663,0.603,9.11900095781074e-40
"Atp11a",5.89660133620855e-40,0.345334162796639,0.71,0.644,9.84024830986482e-36
"Fam178b",1.57020609017976e-58,0.343867724680041,0.288,0.189,2.62035992329198e-54
"Ptprf",5.17024139018534e-53,0.343801934701477,0.801,0.703,8.62809883194129e-49
"Tfcp2l1",1.98632807323802e-42,0.34347611133542,0.316,0.258,3.31478428861961e-38
"Acaca",9.50481224737619e-48,0.34345226984434,0.293,0.225,1.58616306784214e-43
"Midn",4.38318176762315e-40,0.342960006794845,0.398,0.343,7.31465373380951e-36
"Por",4.03686550001244e-36,0.341904828153814,0.607,0.566,6.73672114642076e-32
"Apoe",3.75722424077623e-78,0.340557569481245,0.736,0.559,6.27005581300737e-74
"Tob2",2.53288639632221e-39,0.339176640258553,0.393,0.336,4.2268808181825e-35
"Itga9",2.5772603167267e-39,0.338616513577031,0.338,0.281,4.30093201655352e-35
"Tsc22d1",1.94403135524695e-60,0.33831112165184,0.859,0.793,3.24419952563611e-56
"Tcp11l2",4.54388850149071e-46,0.337652767800633,0.369,0.286,7.5828411312877e-42
"Atf4",9.5178848034479e-44,0.337011259986519,0.649,0.589,1.58834461599939e-39
"Aldh2",1.0082640006302e-61,0.33637024605182,0.846,0.76,1.68259096425168e-57
"Mmp15",6.01757726201606e-38,0.334956664014116,0.341,0.286,1.00421329348524e-33
"Gpt",1.53286865793929e-49,0.334229566759244,0.283,0.204,2.55805121636908e-45
"Enpep",1.43568286308927e-38,0.333898471770337,0.601,0.545,2.39586756192338e-34
"Ehf",1.04518133985299e-39,0.332885345880412,0.335,0.268,1.74419861994667e-35
"Pcyt2",1.47902602211698e-38,0.330696115144269,0.35,0.291,2.46819862570882e-34
"Ubc",4.7502278852809e-105,0.329608146166238,0.983,0.939,7.92718029495676e-101
"Cd74",1.51117833748252e-243,0.329214997979851,1,0.972,2.52185440959083e-239
"Tuba4a",1.05281128530283e-37,0.328115415677049,0.556,0.507,1.75693147291336e-33
"Ctsc",5.8150606585262e-134,0.327925889745042,0.958,0.797,9.70417322694853e-130
"Msmo1",9.07479180652522e-31,0.324085856353248,0.46,0.405,1.51440125667293e-26
"D230025D16Rik",1.70261883822176e-37,0.32363371959785,0.481,0.427,2.84133031722446e-33
"Pim3",3.95611840456612e-33,0.323516035972968,0.462,0.412,6.60197039353994e-29
"Ptgfrn",9.80806535668149e-44,0.322486943595659,0.29,0.225,1.63676994672301e-39
"Scd1",1.12859847980413e-178,0.321652167045197,0.985,0.843,1.88340514309713e-174
"Junb",1.12694348084144e-72,0.319226039432627,0.919,0.831,1.8806432808282e-68
"Nipal1",7.6009938338409e-43,0.319143116271625,0.276,0.208,1.26845385099137e-38
"Tsc22d3",7.63851285306099e-31,0.316513940989628,0.524,0.479,1.27471502491882e-26
"Fads1",1.19957977122597e-40,0.316102796685795,0.259,0.201,2.00185872222191e-36
"Cyp4v3",1.75710800812481e-38,0.310114055326913,0.332,0.271,2.93226184395869e-34
"P4ha1",4.57190603920314e-20,0.309993846236254,0.382,0.367,7.6295967982222e-16
"Swt1",1.79134708859902e-32,0.309236284452616,0.669,0.629,2.98940002145404e-28
"Iah1",4.5430750686716e-39,0.30921294343529,0.707,0.644,7.58148367459917e-35
"Emb",2.33320996589341e-46,0.308534371426144,0.768,0.7,3.89366079108293e-42
"Ahcyl2",6.47917650685797e-36,0.306479280171962,0.335,0.277,1.08124497546446e-31
"Skil",4.20137408396287e-32,0.302389019847358,0.388,0.323,7.01125307131723e-28
"Pbx1",1.63478612606217e-27,0.301471923258119,0.487,0.46,2.72813108717255e-23
"Cbx4",1.54775603047195e-32,0.301221677391483,0.357,0.305,2.58289526365158e-28
"Rtkn",3.92018125684981e-32,0.300345902821248,0.4,0.352,6.54199848143096e-28
"Kcne2",2.06428539206577e-37,0.296165741715098,0.332,0.247,3.44487946227935e-33
"Ift20",4.90280858658328e-34,0.294933121709142,0.774,0.73,8.18180696929018e-30
"Idh2",1.3873535874043e-32,0.292275381124566,0.668,0.595,2.31521566666029e-28
"Adam19",1.36532177923277e-29,0.291784112538893,0.283,0.245,2.27844898518365e-25
